"occ","y4_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28_1","lf02_28_2","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34_1","lf02_34_2","lf02_35_1","lf02_35_2"
10,"1001-001",10,1,23,34,18,0,12,2,,,2,,,2,,,2,,,2,,,1,14,28000,1,2,8000,2,,"LF02",,2,,,,,,,,
11,"1001-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1001-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1001-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1001-001",14,1,2,2,2,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1001-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1001-001",16,1,0,1,1,,0,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
1,"1002-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1002-001",2,1,0,1,0,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1002-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1002-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1002-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1002-001",6,1,0,1,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1002-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1002-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1002-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1002-001",10,1,8,65,20,0,60,2,,,2,,,1,3,1,2,,,2,,,1,30,45000,1,8,48000,2,,"LF01",,1,4,1,0,,,,,
11,"1002-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1002-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1002-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1002-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1002-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1002-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1003-001",1,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"1003-001",2,1,2,3,2,0,,2,,,2,,,2,,,1,1,500000,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1003-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1003-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1003-001",5,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1003-001",6,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1003-001",7,1,25,25,20,0,6,2,,,2,,,2,,,1,5,50000,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"1003-001",8,1,15,15,10,0,10,2,,,2,,,2,,,1,5,50000,2,,,2,,,2,,,,,,,2,,,,,,,,
9,"1003-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1003-001",10,1,10,18,5,0,15,2,,,2,,,2,,,2,,,,,,1,10,20000,2,,,,,,,1,3,1.5,0,,,,,
11,"1003-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1003-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1003-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1003-001",14,1,2,2,2,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1003-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1003-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1005-001",1,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"1005-001",2,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1005-001",3,1,2,2,2,0,,1,1,200000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"1005-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1005-001",5,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1005-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1005-001",7,1,10,15,10,0,7,2,,,2,,,2,,,1,5,150000,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"1005-001",8,1,20,39,30,0,10,2,,,2,,,2,,,1,7,210000,2,,,2,,,1,2,60000,1,,"LF01",,2,,,,,,,,
9,"1005-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1005-001",10,1,10,50,35,0,45,2,,,2,,,2,,,1,6,36000,2,,,1,5,10000,2,,,,,,,1,4,1.5,0,,,,,
11,"1005-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1005-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1005-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1005-001",14,1,2,2,2,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1005-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1005-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1006-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1006-001",2,1,2,2,1,0,,2,,,2,,,2,,,2,,,2,,,1,1,400000,2,,,,,,,2,,,,,,,,
3,"1006-001",3,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"1006-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1006-001",5,1,0,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1006-001",6,1,0,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1006-001",7,1,11,8,7,0,4,2,,,2,,,2,,,2,,,2,,,2,,,1,1,30000,1,,"LF01",,2,,,,,,,,
8,"1006-001",8,1,15,9,8,0,3,2,,,2,,,2,,,2,,,2,,,2,,,1,1,30000,1,,"LF01",,2,,,,,,,,
9,"1006-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1006-001",10,1,10,11,10,0,0,2,,,2,,,2,,,1,1,13000,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"1006-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1006-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1006-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1006-001",14,1,2,3,3,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1006-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1006-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1007-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1007-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1007-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1007-001",4,1,0,1,1,0,,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"1007-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1007-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1007-001",7,1,2,11,7,0,4,2,,,2,,,2,,,1,1,20000,1,1,50000,2,,,1,2,50000,1,,"LF01",,2,,,,,,,,
8,"1007-001",8,1,0,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
9,"1007-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1007-001",10,1,0,45,20,0,30,2,,,2,,,2,,,1,7,7000,2,,,1,4,48000,1,12,156000,1,,"LF01",,1,2,1,0,,,,,
11,"1007-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1007-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1007-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1007-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1007-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1007-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1009-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1009-001",2,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1009-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1009-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1009-001",5,1,0,2,2,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1009-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1009-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1009-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1009-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1009-001",10,1,1,20,9,0,16,2,,,2,,,2,,,2,,,2,,,1,11,22000,2,,,,,,,2,,,,,,,,
11,"1009-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1009-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1009-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1009-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1009-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1009-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1019-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1020-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1021-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1022-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1023-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1024-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1025-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1026-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1038-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1039-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1040-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1041-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1041-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1041-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1041-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1041-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1041-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1041-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1041-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1041-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1041-001",10,1,20,20,15,0,14,1,4,60000,2,,,2,,,1,4,8000,2,,,1,1,15000,2,,,,,,,1,1,2,0,,,,,
11,"1041-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1041-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1041-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1041-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1041-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1041-001",16,1,1,2,2,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
1,"1042-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1043-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1043-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1043-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1043-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1043-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1043-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1043-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1043-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1043-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1043-001",10,1,0,9,6,0,3,2,,,1,1,1,2,,,2,,,2,,,2,,,2,,,,,,,1,3,2,0,,,,,
11,"1043-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1043-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1043-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1043-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1043-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1043-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1044-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1045-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1057-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1057-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1057-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1057-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1057-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1057-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1057-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1057-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1057-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1057-001",10,1,24,55,15,0,48,2,,,2,,,2,,,1,40,100000,2,,,2,,,2,,,,,,,2,,,,,,,,
11,"1057-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1057-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1057-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1057-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1057-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1057-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1058-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1058-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1058-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1058-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1058-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1058-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1058-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"1058-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1058-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1058-001",10,1,0,5,10,0,5,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,1,0,,,,,
11,"1058-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1058-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1058-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1058-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1058-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1058-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1059-001",1,1,5,2,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"1059-001",2,1,18,13,13,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1059-001",3,1,5,5,4,0,,2,,,2,,,2,,,1,1,700000,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"1059-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1059-001",5,1,9,10,9,0,10,2,,,2,,,2,,,1,1,150000,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1059-001",6,1,20,10,10,0,10,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1059-001",7,1,140,245,50,0,20,2,,,1,1,1,1,8,1,1,150,4500000,2,,,2,,,1,27,30000,1,,"LF01",,1,10,7,0,,,,,
8,"1059-001",8,1,50,90,20,0,10,2,,,2,,,2,,,1,50,1500000,1,1,30000,2,,,1,9,30000,1,,"LF01",,1,10,8,0,,,,,
9,"1059-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1059-001",10,1,64,120,40,0,56,2,,,2,,,2,,,1,20,100000,2,,,1,32,16000,1,5,7000,1,,"LF02",,1,23,1,0,,,,,
11,"1059-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1059-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1059-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1059-001",14,1,4,6,6,,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1059-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1059-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1060-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1060-001",2,1,3,4,4,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1060-001",3,1,4,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"1060-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"1060-001",5,1,0,2,2,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"1060-001",6,1,0,2,2,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"1060-001",7,1,25,30,8,0,10,2,,,2,,,2,,,1,20,800000,2,,,2,,,2,,,,,,,1,2,12,0,,,,,
8,"1060-001",8,1,10,6,5,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,12,0,,,,,
9,"1060-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1060-001",10,1,15,42,10,0,36,2,,,2,,,2,,,1,13,55000,2,,,1,15,5000,2,,,,,,,1,4,2,0,,,,,
11,"1060-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"1060-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"1060-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1060-001",14,1,2,2,2,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
15,"1060-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1060-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1061-001",1,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"1061-001",2,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"1061-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
